toxicity	message
0.91230553	**** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** **** ***** ***** **** * * **** * **** **** **** ***** *****
0.18301447	**** * ***. *** ******* ** ** ***** *** ** ****!
0.22433533	** *** **** ******* *** (*** * ******* ** ** ********'* ******** *******)**** ******* *** ****** *** ****** ** *** ******.  ** *** **** **'* ********* **** *** ****.
0.2553144	"""   ****** ** *** ********* *****, ** *** *** **** **** **** ** *** ******* ******. ** *** ******** ** ** **, *** **** ** ******* **** *******.    """
0.09156692	"""  ******* ** ****** – *** **:***** *** ********  ** ** ********** **** *******? *. ***** *******:     *. *** **********:    ** ** ********* ******** *** **********? *. ********** ** *******:     *. ******** ** ******** ******* ***** *********:     *. ** ******** ********:    ** ** ***** ** *** ********? *. ***** *******:     *. *******:    ** ** *******? **** ************** ******* ****:    ** ** ******?  ** **** ****, ***:    **** ** ******* ****** ** ********** *** *****? *. ****** *** ********* ******, *** ***-**** ****** **** **** *** **********:     *. ****** *** ******** ***** ******** *** ***********, **** ******** ********:    *******:  **** ** ****:     *'* ****** **** ******* * """"****"""" ******* ******** **** ************ ** *********** ***** ** **********.  """
0.18799978	**** ******** ** ** **** *** ***. **** **** ** *** **** **** ***** ***/**** ******** ********* *** ********** *** *** ** **:****. *** ***'*/*******'* *** ******** **** ***'* **** ** **** ** ****** ***** ****** *** *** **** ******* * **** ******** ** **** ** *** ****. ** *** **** *** ********* **** **** ** ***. ******!
0.11232662	*** **** **** “********** **** ************* *** ***** **** **** *** ***** ***** **** *** ** ********* ** * ****** *****”? ********* *** **. *** *’** **** ***** ** ******** ** ***** ******* *** *********** *** ***** *** ****** ************ **** *** *** ** ******* ***** *********. *******, *** **** *** ***** ************? ******** * *** * *** *******. *** ** ****** *** *** ** ***********. ***'** ******* ******** ******* **'* ***** **** ********* (****** *** ******* ******, ***** ***, *** ***** ****** **** ***** ************ ******** *** **).
0.49006206	* ***'* **** *** *** *****'* **** ****, *** * ****** *** ***** ***. * **** * ****** ** ******* *** *** *** ** ********* *** * **** **** ** **** *** **** *** **** *****'* ** *** ** **** ** ** ***.   *** ** ***** ** ** ** **** ******** **** **** ***'** *** ****** ** *********'* **** ********* ****** ******* ** ** ******** ** ** *** **** ****. * ********* **** ****'* *** *** **** ****, *** ****'* *** ** *****.   ***********, * *** ******* **** *'* *** ******* ** **** *** ******* ** ** *** **** ****. *** ****** *'** ******* ** ******* ** ***** ** ******* ********* ***** ****** ** ********* *** ** ****** ******* ** ***, *** ******* ** ****** *** * ******** ******, *'** ****** ** ****** ***. ******* ** ** ********* ** ****. ****, *** * **** *'* *** ******* ** ****** *** ******* ** ** ****, *** * ****** *** ***** **** ** **** *** *** ** ****** ********** * ** ****** ******* ** *****'* ***** **** **. ******* *** ********** *** *** ********* ** ****** *** ********* ** ** ****** ********* ** **** ** ***.
0.13184953	**** ******* ** ****   ***** *** ***'* **** **** **** **** * ****. *** ** ****. ** *** **** ** *** ******* **.
0.07117687	******, ***** ** *** * **** *** **** ******** *** ***** ******* ** **** ******* **** ***** ** ********** **** **********. -
